track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence
74.0,pop,dance pop,0.766,0.771,6.0,-9.108,1.0,0.0576,0.00407,3.76e-06,0.113,0.297
46.0,pop,dance pop,0.649,0.821,10.0,-4.952,0.0,0.0472,0.017,0.000347,0.0655,0.394
63.0,pop,dance pop,0.588,0.697,3.0,-4.744,0.0,0.0372,0.186,0.000219,0.103,0.225
55.0,pop,dance pop,0.355,0.789,5.0,-4.358,0.0,0.165,0.0148,0.0,0.0355,0.169
52.0,pop,dance pop,0.542,0.84,0.0,-5.283,0.0,0.0419,0.0336,8.45e-05,0.277,0.509
67.0,pop,dance pop,0.735,0.5,8.0,-11.297,1.0,0.0511,0.415,3.12e-05,0.13,0.119
63.0,pop,dance pop,0.752,0.84,6.0,-4.451,0.0,0.0373,0.00486,0.0109,0.0916,0.461
60.0,pop,dance pop,0.748,0.903,3.0,-5.877,0.0,0.0385,0.0324,0.0,0.106,0.751
45.0,pop,dance pop,0.607,0.955,7.0,-3.613,0.0,0.102,0.0163,0.121,0.0725,0.501
58.0,pop,dance pop,0.607,0.995,9.0,-2.325,0.0,0.0487,0.0921,0.002,0.0445,0.664
51.0,pop,dance pop,0.679,0.786,1.0,-6.918,0.0,0.132,0.119,5.89e-06,0.224,0.47
58.0,pop,dance pop,0.714,0.801,5.0,-5.8,0.0,0.0301,0.0204,0.00615,0.334,0.292
56.0,pop,dance pop,0.69,0.862,2.0,-4.154,1.0,0.0944,0.0611,1.85e-05,0.238,0.453
60.0,pop,dance pop,0.775,0.867,4.0,-7.388,0.0,0.204,0.0158,0.0117,0.0355,0.565
48.0,pop,dance pop,0.814,0.838,11.0,-5.547,1.0,0.0763,0.001,0.0223,0.0185,0.959
56.0,pop,dance pop,0.784,0.779,8.0,-5.48,1.0,0.0387,0.0357,0.025,0.0245,0.459
56.0,pop,dance pop,0.367,0.783,6.0,-4.504,1.0,0.154,0.00515,0.0,0.0545,0.289
65.0,pop,dance pop,0.609,0.83,6.0,-3.759,0.0,0.0793,0.201,6.18e-05,0.0321,0.604
39.0,pop,dance pop,0.591,0.702,7.0,-5.59,1.0,0.0289,0.225,0.0,0.414,0.501
83.0,pop,dance pop,0.59,0.642,7.0,-3.87,1.0,0.122,0.0771,0.0,0.105,0.651
83.0,pop,dance pop,0.791,0.565,5.0,-3.933,0.0,0.0439,0.0623,0.0,0.156,0.181
71.0,pop,dance pop,0.564,0.747,5.0,-3.374,1.0,0.0584,0.0728,0.0,0.151,0.717
81.0,pop,dance pop,0.669,0.801,8.0,-5.445,1.0,0.136,0.268,0.0,0.0594,0.541
85.0,pop,dance pop,0.77,0.882,8.0,-4.792,1.0,0.0602,0.194,0.0,0.316,0.385
76.0,pop,dance pop,0.513,0.788,0.0,-4.629,1.0,0.0364,0.00968,0.0,0.11,0.234
71.0,pop,dance pop,0.72,0.864,0.0,-3.249,1.0,0.208,0.0856,0.0,0.16,0.659
65.0,pop,dance pop,0.789,0.858,5.0,-4.388,1.0,0.0404,0.22,4.58e-05,0.335,0.491
67.0,pop,dance pop,0.294,0.505,3.0,-8.106,1.0,0.042,0.12,0.0,0.0977,0.357
74.0,pop,dance pop,0.665,0.799,6.0,-2.868,0.0,0.0617,0.18,0.0,0.125,0.5
81.0,pop,dance pop,0.46,0.8,1.0,-3.584,1.0,0.05,0.289,6.16e-06,0.121,0.553
71.0,pop,dance pop,0.362,0.921,1.0,-3.815,0.0,0.486,0.123,0.0,0.19,0.529
75.0,pop,dance pop,0.686,0.83,8.0,-4.437,1.0,0.0369,0.0948,1.33e-06,0.182,0.486
73.0,pop,dance pop,0.618,0.66,11.0,-8.14,0.0,0.0372,0.0292,2.07e-06,0.325,0.408
79.0,pop,dance pop,0.665,0.699,11.0,-5.265,1.0,0.0578,0.423,0.0,0.0969,0.585
74.0,pop,dance pop,0.661,0.725,6.0,-4.859,1.0,0.0563,0.0253,0.0,0.123,0.605
63.0,pop,dance pop,0.571,0.752,3.0,-4.872,1.0,0.0293,0.0196,6.92e-05,0.114,0.25
79.0,pop,dance pop,0.591,0.705,9.0,-6.519,0.0,0.079,0.381,0.000116,0.131,0.27
16.0,pop,dance pop,0.652,0.898,7.0,-4.481,0.0,0.0361,0.29,0.0,0.073,0.472
75.0,pop,dance pop,0.706,0.855,10.0,-5.377,1.0,0.215,0.0911,0.0,0.347,0.293
75.0,pop,dance pop,0.404,0.806,2.0,-4.75,1.0,0.0496,0.198,0.0,0.114,0.112
55.0,pop,dance pop,0.876,0.856,4.0,-3.884,1.0,0.0486,0.0812,1.29e-06,0.457,0.685
30.0,pop,dance pop,0.802,0.645,5.0,-6.181,0.0,0.0715,0.272,0.0,0.119,0.376
62.0,pop,dance pop,0.906,0.832,5.0,-3.004,0.0,0.0718,0.0909,0.0,0.152,0.751
84.0,pop,dance pop,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437
70.0,pop,dance pop,0.693,0.674,5.0,-4.449,1.0,0.0723,0.185,0.0,0.0639,0.378
37.0,pop,dance pop,0.672,0.815,1.0,-6.476,0.0,0.0981,0.00246,0.0,0.577,0.341
70.0,pop,dance pop,0.581,0.76,0.0,-3.962,1.0,0.0406,0.16,0.0,0.183,0.523
74.0,pop,dance pop,0.643,0.594,2.0,-5.453,1.0,0.0318,0.0128,0.0,0.118,0.442
85.0,pop,dance pop,0.674,0.881,9.0,-2.853,1.0,0.147,0.296,3.01e-06,0.0793,0.234
36.0,pop,dance pop,0.691,0.538,0.0,-9.952,1.0,0.103,0.246,0.163,0.178,0.329
52.0,pop,dance pop,0.661,0.758,7.0,-5.299,1.0,0.0864,0.0797,0.0,0.106,0.387
58.0,pop,dance pop,0.653,0.69,1.0,-5.003,1.0,0.0756,0.109,0.0,0.136,0.652
72.0,pop,dance pop,0.734,0.693,0.0,-6.474,1.0,0.0361,0.0878,0.0,0.341,0.55
64.0,pop,dance pop,0.663,0.696,11.0,-5.994,1.0,0.0349,0.0563,6.25e-06,0.226,0.449
63.0,pop,dance pop,0.55,0.899,5.0,-3.284,0.0,0.0458,0.0113,9.65e-05,0.137,0.408
77.0,pop,dance pop,0.703,0.868,7.0,-4.661,0.0,0.0291,0.15,0.132,0.104,0.733
76.0,pop,dance pop,0.44,0.635,11.0,-6.385,1.0,0.0326,0.129,0.0,0.121,0.327
74.0,pop,dance pop,0.625,0.707,2.0,-4.761,1.0,0.0337,0.22,0.0,0.213,0.479
56.0,pop,dance pop,0.625,0.719,4.0,-5.541,1.0,0.0612,0.048,0.0,0.0668,0.326
77.0,pop,dance pop,0.547,0.795,8.0,-3.721,1.0,0.0489,0.145,0.0,0.11,0.723
71.0,pop,dance pop,0.673,0.596,10.0,-7.891,1.0,0.0354,0.166,0.0,0.11,0.19
64.0,pop,dance pop,0.699,0.633,6.0,-6.547,1.0,0.0362,0.0453,0.0,0.101,0.458
82.0,pop,dance pop,0.647,0.726,3.0,-4.389,0.0,0.0552,0.157,0.0,0.0844,0.767
81.0,pop,dance pop,0.588,0.67,0.0,-6.439,1.0,0.0473,0.0104,3.33e-06,0.338,0.505
41.0,pop,dance pop,0.655,0.427,2.0,-11.684,0.0,0.0799,0.295,0.00108,0.0788,0.224
62.0,pop,dance pop,0.79,0.865,6.0,-4.159,1.0,0.0438,0.0264,0.0892,0.24,0.362
72.0,pop,dance pop,0.726,0.763,4.0,-6.872,1.0,0.0882,0.524,2.64e-06,0.0943,0.516
24.0,pop,dance pop,0.714,0.705,10.0,-6.479,1.0,0.0995,0.292,0.000386,0.126,0.471
58.0,pop,dance pop,0.619,0.938,5.0,-5.245,1.0,0.35,0.0257,1.39e-05,0.128,0.601
65.0,pop,dance pop,0.575,0.808,1.0,-4.578,1.0,0.0439,0.0446,0.0,0.0693,0.232
64.0,pop,dance pop,0.768,0.808,5.0,-1.818,1.0,0.112,0.00627,5.33e-06,0.343,0.664
53.0,pop,dance pop,0.767,0.605,6.0,-5.737,0.0,0.188,0.559,0.000363,0.193,0.657
72.0,pop,dance pop,0.466,0.612,8.0,-4.855,0.0,0.0307,0.0655,4.07e-06,0.132,0.236
39.0,pop,dance pop,0.434,0.917,9.0,-3.613,0.0,0.0633,0.301,1.8e-05,0.289,0.622
75.0,pop,dance pop,0.744,0.79,8.0,-4.617,0.0,0.0562,0.0547,0.000802,0.32,0.847
60.0,pop,dance pop,0.837,0.818,8.0,-4.474,0.0,0.0533,0.0527,0.00642,0.11,0.484
18.0,pop,dance pop,0.514,0.856,2.0,-4.285,1.0,0.0717,0.00123,6.34e-06,0.544,0.351
79.0,pop,dance pop,0.69,0.622,5.0,-5.025,0.0,0.0622,0.253,0.0,0.116,0.544
60.0,pop,dance pop,0.466,0.869,3.0,-4.275,1.0,0.0529,0.0142,0.00241,0.115,0.185
83.0,pop,dance pop,0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617
85.0,pop,dance pop,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661
47.0,pop,dance pop,0.647,0.624,9.0,-8.446,1.0,0.0451,0.025,0.056,0.0616,0.477
74.0,pop,dance pop,0.509,0.781,8.0,-3.48,1.0,0.072,0.0398,0.0,0.0749,0.176
80.0,pop,dance pop,0.737,0.636,11.0,-4.546,0.0,0.0437,0.0441,6.66e-05,0.35,0.565
81.0,pop,dance pop,0.584,0.54,1.0,-7.786,0.0,0.0576,0.0895,0.0,0.261,0.195
76.0,pop,dance pop,0.743,0.733,8.0,-5.337,1.0,0.0375,0.00402,0.0,0.304,0.622
96.0,pop,dance pop,0.721,0.716,10.0,-7.037,0.0,0.0657,0.0334,0.00084,0.237,0.667
84.0,pop,dance pop,0.781,0.768,11.0,-5.991,1.0,0.0394,0.0119,4.91e-06,0.325,0.486
86.0,pop,dance pop,0.737,0.828,11.0,-4.711,1.0,0.0396,0.0149,0.000583,0.0862,0.517
68.0,pop,dance pop,0.57,0.763,1.0,-4.137,1.0,0.0573,0.0857,2.49e-06,0.0932,0.43
66.0,pop,dance pop,0.551,0.651,8.0,-5.828,0.0,0.0594,0.225,0.0,0.224,0.562
83.0,pop,dance pop,0.617,0.635,11.0,-6.769,0.0,0.0317,0.0498,1.44e-05,0.164,0.446
85.0,pop,dance pop,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592
73.0,pop,dance pop,0.503,0.748,5.0,-4.124,1.0,0.0619,0.0305,0.0,0.343,0.356
69.0,pop,dance pop,0.64,0.533,0.0,-6.596,1.0,0.0706,0.119,0.0,0.0864,0.515
69.0,pop,dance pop,0.658,0.677,5.0,-6.628,1.0,0.0393,0.248,0.0,0.368,0.248
81.0,pop,dance pop,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163
73.0,pop,dance pop,0.713,0.802,4.0,-7.055,1.0,0.0561,0.0435,0.00377,0.309,0.343
61.0,pop,dance pop,0.596,0.738,8.0,-3.109,1.0,0.0411,0.109,0.0,0.0947,0.461
19.0,pop,dance pop,0.503,0.727,1.0,-5.456,1.0,0.167,0.0159,9.45e-05,0.0895,0.521
57.0,pop,dance pop,0.609,0.726,5.0,-4.346,0.0,0.0414,0.0723,8.45e-06,0.0895,0.362
81.0,pop,dance pop,0.654,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.41
79.0,pop,dance pop,0.63,0.928,9.0,-2.787,0.0,0.0331,0.199,0.124,0.148,0.465
84.0,pop,dance pop,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643
84.0,pop,dance pop,0.694,0.77,6.0,-5.335,1.0,0.149,0.176,1.1e-05,0.118,0.163
66.0,pop,dance pop,0.604,0.787,0.0,-3.674,0.0,0.103,0.0679,0.15,0.127,0.301
64.0,pop,dance pop,0.638,0.832,8.0,-5.039,1.0,0.049,0.141,0.0,0.113,0.648
61.0,pop,dance pop,0.759,0.716,11.0,-6.36,0.0,0.0818,0.0223,0.0,0.231,0.469
27.0,pop,dance pop,0.614,0.832,11.0,-3.419,0.0,0.0522,0.11,0.0,0.185,0.429
74.0,pop,dance pop,0.669,0.832,0.0,-5.72,1.0,0.0682,0.0106,0.0,0.0968,0.7
57.0,pop,dance pop,0.702,0.781,0.0,-4.081,1.0,0.03,0.433,0.0,0.135,0.382
69.0,pop,dance pop,0.851,0.806,4.0,-4.618,1.0,0.0786,0.12,1.33e-06,0.121,0.776
77.0,pop,dance pop,0.738,0.868,11.0,-4.373,0.0,0.0731,0.0389,0.00171,0.388,0.336
74.0,pop,dance pop,0.57,0.672,8.0,-5.89,0.0,0.0723,0.177,0.0,0.0768,0.448
57.0,pop,dance pop,0.708,0.727,9.0,-7.647,1.0,0.0389,0.0201,0.676,0.37,0.512
68.0,pop,dance pop,0.654,0.787,4.0,-4.999,1.0,0.0502,0.00515,0.0,0.144,0.409
65.0,pop,dance pop,0.945,0.584,6.0,-7.649,0.0,0.044,0.0955,0.341,0.147,0.626
58.0,pop,dance pop,0.704,0.929,0.0,-4.447,1.0,0.0395,0.0395,0.0249,0.181,0.633
81.0,pop,dance pop,0.765,0.906,8.0,-2.097,0.0,0.0965,0.125,0.0,0.423,0.95
68.0,pop,dance pop,0.682,0.855,7.0,-3.282,1.0,0.0401,0.0566,1e-06,0.101,0.304
43.0,pop,dance pop,0.627,0.662,7.0,-7.104,0.0,0.0349,0.0922,0.000166,0.143,0.596
57.0,pop,dance pop,0.762,0.736,7.0,-7.66,1.0,0.0778,0.135,0.0538,0.113,0.248
58.0,pop,dance pop,0.577,0.844,7.0,-3.364,1.0,0.0406,0.00407,6.13e-06,0.499,0.283
58.0,pop,dance pop,0.632,0.816,8.0,-4.584,1.0,0.0349,0.00205,0.106,0.119,0.134
91.0,pop,dance pop,0.598,0.526,10.0,-8.659,0.0,0.0415,0.129,0.0,0.14,0.529
67.0,pop,dance pop,0.825,0.841,0.0,-6.433,1.0,0.135,0.0906,0.00411,0.258,0.616
42.0,pop,dance pop,0.63,0.731,6.0,-4.985,1.0,0.0352,0.0191,7.82e-06,0.704,0.46
70.0,pop,dance pop,0.795,0.899,0.0,-4.202,1.0,0.0685,0.00235,0.000392,0.199,0.329
64.0,pop,dance pop,0.529,0.717,6.0,-7.049,0.0,0.24,0.123,0.000707,0.0363,0.481
79.0,pop,dance pop,0.7,0.872,10.0,-5.896,1.0,0.0666,0.121,7.08e-06,0.103,0.761
48.0,pop,dance pop,0.791,0.541,1.0,-7.14,1.0,0.054,0.123,4.74e-05,0.121,0.433
53.0,pop,dance pop,0.904,0.633,0.0,-5.545,1.0,0.0958,0.203,0.000266,0.163,0.492
75.0,pop,dance pop,0.744,0.725,11.0,-6.055,1.0,0.0303,0.018,9.29e-06,0.212,0.904
46.0,pop,dance pop,0.772,0.687,9.0,-6.348,0.0,0.211,0.0528,0.0,0.834,0.59
67.0,pop,dance pop,0.706,0.524,6.0,-8.804,1.0,0.026,0.127,0.00129,0.109,0.296
65.0,pop,dance pop,0.664,0.699,11.0,-7.115,0.0,0.27,0.0352,0.0,0.0612,0.252
56.0,pop,dance pop,0.781,0.745,1.0,-4.942,0.0,0.0374,0.0814,9.71e-05,0.106,0.498
42.0,pop,dance pop,0.789,0.547,9.0,-8.738,0.0,0.0748,0.072,9.21e-05,0.0782,0.48
58.0,pop,dance pop,0.575,0.808,1.0,-4.578,1.0,0.0439,0.0446,0.0,0.0693,0.232
74.0,pop,dance pop,0.669,0.797,9.0,-5.68,0.0,0.0624,0.259,0.0,0.199,0.552
65.0,pop,dance pop,0.567,0.946,5.0,-2.245,0.0,0.0541,0.0978,1.37e-06,0.0836,0.295
64.0,pop,dance pop,0.653,0.757,3.0,-3.642,1.0,0.0555,0.0997,0.0,0.242,0.233
51.0,pop,dance pop,0.721,0.779,6.0,-4.239,0.0,0.0606,0.142,0.0,0.143,0.327
63.0,pop,dance pop,0.534,0.765,1.0,-3.151,1.0,0.0338,0.0915,0.00107,0.225,0.117
83.0,pop,dance pop,0.651,0.693,4.0,-4.722,1.0,0.0375,0.458,0.0,0.335,0.392
55.0,pop,dance pop,0.682,0.923,0.0,-3.273,1.0,0.0364,0.00395,3e-05,0.242,0.37
39.0,pop,dance pop,0.66,0.827,10.0,-5.081,1.0,0.0789,0.429,0.0,0.0923,0.611
48.0,pop,dance pop,0.57,0.965,6.0,-4.881,0.0,0.0348,0.00108,0.523,0.201,0.148
59.0,pop,dance pop,0.608,0.918,0.0,-1.137,0.0,0.0684,0.199,0.0,0.309,0.422
64.0,pop,dance pop,0.561,0.562,9.0,-11.431,0.0,0.15,0.062,0.0,0.118,0.244
42.0,pop,dance pop,0.591,0.88,4.0,-5.153,0.0,0.223,0.0804,0.0,0.326,0.482
70.0,pop,dance pop,0.626,0.8,1.0,-3.988,0.0,0.035,0.0267,0.000138,0.0623,0.258
57.0,pop,dance pop,0.745,0.8,11.0,-5.606,0.0,0.0361,0.0209,0.000479,0.113,0.314
21.0,pop,dance pop,0.66,0.857,2.0,-5.219,1.0,0.321,0.167,1.36e-05,0.119,0.233
68.0,pop,dance pop,0.53,0.729,0.0,-6.019,1.0,0.0376,0.00699,0.0,0.103,0.219
63.0,pop,dance pop,0.552,0.887,1.0,-3.812,1.0,0.147,0.0457,0.0207,0.0903,0.783
54.0,pop,dance pop,0.471,0.911,2.0,-4.372,0.0,0.0594,0.0316,0.00648,0.571,0.197
79.0,pop,dance pop,0.747,0.776,10.0,-5.898,0.0,0.0722,0.0233,1.38e-05,0.761,0.67
72.0,pop,dance pop,0.712,0.664,11.0,-8.026,1.0,0.0345,0.0416,0.000104,0.0668,0.781
80.0,pop,dance pop,0.733,0.859,9.0,-5.03,0.0,0.033,0.479,0.0645,0.105,0.52
47.0,pop,dance pop,0.517,0.793,6.0,-5.851,0.0,0.0367,0.0214,0.00046,0.0892,0.176
19.0,pop,dance pop,0.675,0.674,4.0,-6.329,1.0,0.0372,0.00339,8.55e-05,0.279,0.414
79.0,pop,dance pop,0.818,0.823,11.0,-3.563,0.0,0.2,0.0663,1.17e-05,0.133,0.52
59.0,pop,dance pop,0.639,0.591,7.0,-3.905,0.0,0.0344,0.128,6.69e-06,0.159,0.305
68.0,pop,dance pop,0.535,0.906,6.0,-4.699,0.0,0.0353,0.0202,0.000715,0.0886,0.732
72.0,pop,dance pop,0.784,0.721,8.0,-5.457,1.0,0.0506,0.0149,0.00424,0.285,0.895
66.0,pop,dance pop,0.809,0.758,4.0,-5.658,0.0,0.101,0.409,0.000544,0.166,0.71
59.0,pop,dance pop,0.669,0.793,1.0,-6.16,1.0,0.0403,0.0318,0.0372,0.555,0.159
64.0,pop,dance pop,0.578,0.786,9.0,-4.665,1.0,0.13,0.232,0.000106,0.122,0.347
41.0,pop,dance pop,0.63,0.726,0.0,-3.753,1.0,0.0978,0.0717,0.0,0.108,0.499
69.0,pop,dance pop,0.845,0.766,2.0,-5.727,0.0,0.0658,0.212,0.0,0.111,0.782
66.0,pop,dance pop,0.679,0.866,2.0,-3.754,1.0,0.0566,0.0337,0.0,0.0688,0.441
68.0,pop,dance pop,0.657,0.882,0.0,-3.565,0.0,0.0456,0.247,0.00202,0.112,0.179
66.0,pop,dance pop,0.493,0.773,5.0,-3.791,0.0,0.157,0.429,7.07e-06,0.0807,0.301
63.0,pop,dance pop,0.687,0.706,4.0,-5.357,1.0,0.0459,0.091,0.0,0.124,0.27
68.0,pop,dance pop,0.654,0.874,6.0,-3.885,1.0,0.0543,0.169,1.77e-06,0.134,0.542
23.0,pop,dance pop,0.661,0.758,7.0,-5.299,1.0,0.0864,0.0797,0.0,0.106,0.387
67.0,pop,dance pop,0.447,0.684,9.0,-4.721,0.0,0.09,0.175,0.0,0.478,0.437
62.0,pop,dance pop,0.731,0.802,5.0,-4.763,1.0,0.0623,0.022,0.0,0.059,0.434
59.0,pop,dance pop,0.6,0.888,8.0,-4.612,1.0,0.13,0.00166,0.0,0.4,0.641
71.0,pop,dance pop,0.687,0.707,4.0,-6.19,1.0,0.0328,0.0536,9.29e-05,0.16,0.607
21.0,pop,dance pop,0.711,0.724,7.0,-4.809,1.0,0.106,0.0835,0.0,0.0389,0.478
81.0,pop,dance pop,0.693,0.575,9.0,-6.998,1.0,0.0801,0.374,0.0,0.252,0.492
69.0,pop,dance pop,0.683,0.785,7.0,-4.879,1.0,0.037,0.0643,1.34e-05,0.177,0.581
56.0,pop,dance pop,0.638,0.818,9.0,-4.517,0.0,0.05,0.131,1.78e-05,0.107,0.489
56.0,pop,dance pop,0.707,0.806,6.0,-4.777,1.0,0.175,0.00908,0.0,0.366,0.634
60.0,pop,dance pop,0.59,0.888,5.0,-2.851,1.0,0.0765,0.0216,0.0,0.487,0.288
40.0,pop,dance pop,0.632,0.574,4.0,-8.584,1.0,0.053,0.0942,0.0,0.215,0.557
57.0,pop,dance pop,0.703,0.879,1.0,-4.514,0.0,0.177,0.0693,0.0,0.315,0.542
70.0,pop,dance pop,0.79,0.746,9.0,-5.96,1.0,0.0502,0.241,0.0,0.316,0.538
63.0,pop,dance pop,0.733,0.718,4.0,-7.149,0.0,0.0376,0.0107,0.0102,0.33,0.206
65.0,pop,dance pop,0.728,0.848,5.0,-6.248,1.0,0.185,0.0427,4.49e-06,0.118,0.612
56.0,pop,dance pop,0.502,0.78,0.0,-4.547,1.0,0.244,0.333,0.0,0.72,0.607
53.0,pop,dance pop,0.685,0.712,6.0,-4.302,0.0,0.0894,0.334,1.1e-06,0.047,0.483
11.0,pop,dance pop,0.62,0.906,11.0,-3.638,0.0,0.0627,0.102,0.0206,0.183,0.398
77.0,pop,dance pop,0.601,0.775,0.0,-4.612,1.0,0.0473,0.269,0.0,0.0883,0.483
56.0,pop,dance pop,0.762,0.665,11.0,-6.92,0.0,0.0471,0.169,0.0,0.103,0.961
65.0,pop,dance pop,0.684,0.95,1.0,-2.588,0.0,0.0809,0.0207,1.25e-06,0.105,0.436
